omitted_participant_id,robust_variant,robust_se_label,n_trials,n_participants,n_questions,abstractness_beta,abstractness_se,abstractness_stat,abstractness_p_value,abstractness_ci_low,abstractness_ci_high
PID012,two_way_cluster,Two-way cluster (participant + question),1045,35,30,1.2986812266800177e-08,1.2696764229942228e-08,1.0228442484719014,0.31483866154590245,-1.2980986295447869e-08,3.895461082904822e-08
PID013,two_way_cluster,Two-way cluster (participant + question),1045,35,30,1.3618348617952127e-08,1.278602483423905e-08,1.0650963684572425,0.29562036281280457,-1.2532008378078455e-08,3.976870561398271e-08
PID014,two_way_cluster,Two-way cluster (participant + question),1045,35,30,1.3456315955388508e-08,1.2079081144417603e-08,1.1140181769212967,0.2744195745361402,-1.1248178850900585e-08,3.81608107616776e-08
PID015,two_way_cluster,Two-way cluster (participant + question),1045,35,30,1.601091689136261e-08,1.2758395462240328e-08,1.2549318555572622,0.2195228928220534,-1.0082931694062678e-08,4.21047654767879e-08
PID016,two_way_cluster,Two-way cluster (participant + question),1045,35,30,1.2081946965469069e-08,1.2743886597953329e-08,0.9480582609240601,0.3509336975780485,-1.3982227660642767e-08,3.8146121591580905e-08
PID017,two_way_cluster,Two-way cluster (participant + question),1045,35,30,1.6119809398170902e-08,1.2302096441959742e-08,1.3103302737238982,0.20036805111592015,-9.040802905300418e-09,4.128042170164222e-08
PID018,two_way_cluster,Two-way cluster (participant + question),1047,35,30,1.407188558157725e-08,1.276831160966144e-08,1.102094467284886,0.2794834535355737,-1.2042243802489454e-08,4.0186014965643955e-08
PID019,two_way_cluster,Two-way cluster (participant + question),1045,35,30,1.2076048993429894e-08,1.2389925569170049e-08,0.9746667908545652,0.3377861286831635,-1.326419404445459e-08,3.741629203131438e-08
PID020,two_way_cluster,Two-way cluster (participant + question),1045,35,30,1.1928873255250667e-08,1.2059652783269233e-08,0.9891556141483607,0.33076881760575005,-1.2735886090919723e-08,3.659363260142106e-08
PID021,two_way_cluster,Two-way cluster (participant + question),1045,35,30,1.45407117331111e-08,1.1919884442052681e-08,1.2198701928529012,0.232342146009029,-9.838189258571477e-09,3.891961272479368e-08
PID022,two_way_cluster,Two-way cluster (participant + question),1045,35,30,1.2889811818731913e-08,1.2748694173484981e-08,1.0110691842887276,0.32034533287351186,-1.3184195403364051e-08,3.896381904082788e-08
PID023,two_way_cluster,Two-way cluster (participant + question),1045,35,30,1.3868379632250699e-08,1.295830312760796e-08,1.0702311479891067,0.2933423279143185,-1.2634326036074014e-08,4.0371085300575414e-08
PID024,two_way_cluster,Two-way cluster (participant + question),1045,35,30,1.2843972728700784e-08,1.245923771340787e-08,1.0308794987416352,0.31111872398644136,-1.2638029561138671e-08,3.832597501854024e-08
PID025,two_way_cluster,Two-way cluster (participant + question),1045,35,30,1.1832677281286272e-08,1.2733655017860038e-08,0.9292443736452677,0.36043326132616105,-1.421057141393291e-08,3.7875925976505454e-08
PID026,two_way_cluster,Two-way cluster (participant + question),1045,35,30,1.2418358995192775e-08,1.297217811996696e-08,0.9573071600117995,0.34632548559117204,-1.4112724218788931e-08,3.8949442209174484e-08
PID027,two_way_cluster,Two-way cluster (participant + question),1045,35,30,1.2097859084937041e-08,1.2447421817950997e-08,0.9719168565084028,0.33912927937488624,-1.3359976985265674e-08,3.7555695155139756e-08
PID028,two_way_cluster,Two-way cluster (participant + question),1045,35,30,1.165528427718826e-08,1.3144806404253987e-08,0.8866836010164684,0.3825436879349089,-1.5228863420887783e-08,3.8539431975264306e-08
PID029,two_way_cluster,Two-way cluster (participant + question),1045,35,30,1.436866854849564e-08,1.3404802379338969e-08,1.0719045415128456,0.29260261505199714,-1.3047230624659404e-08,4.178456772165069e-08
PID030,two_way_cluster,Two-way cluster (participant + question),1045,35,30,1.3835238848198755e-08,1.3272390517097314e-08,1.042407457072363,0.30583530242352785,-1.3309847659329666e-08,4.098032535572718e-08
PID031,two_way_cluster,Two-way cluster (participant + question),1045,35,30,1.0902396974023291e-08,1.2178070293985122e-08,0.8952483202045648,0.37802526515420287,-1.4004553375210802e-08,3.580934732325738e-08
PID032,two_way_cluster,Two-way cluster (participant + question),1045,35,30,1.2193358874502358e-08,1.2968111172885535e-08,0.9402571208671412,0.3548522321230797,-1.4329406498755432e-08,3.871612424776015e-08
PID033,two_way_cluster,Two-way cluster (participant + question),1045,35,30,1.4368045805842742e-08,1.2740703927324444e-08,1.1277277839435706,0.2686791555252499,-1.1689619527957752e-08,4.042571113964323e-08
PID034,two_way_cluster,Two-way cluster (participant + question),1045,35,30,9.66770390838527e-09,1.138971935220204e-08,0.8488096685644987,0.40293965474121096,-1.3626887726310828e-08,3.296229554308137e-08
PID035,two_way_cluster,Two-way cluster (participant + question),1045,35,30,1.1117811182344864e-08,1.3151455197895493e-08,0.8453673768454114,0.404826852791884,-1.577993482557121e-08,3.801555719026094e-08
PID036,two_way_cluster,Two-way cluster (participant + question),1045,35,30,1.1030928404386979e-08,1.2448306497997924e-08,0.8861388821171053,0.38283223501721664,-1.4428717039671516e-08,3.649057384844547e-08
PID038,two_way_cluster,Two-way cluster (participant + question),1045,35,30,1.1182158086206687e-08,1.2173098402896011e-08,0.9185958838175844,0.36588453338265736,-1.3714623603994501e-08,3.6078939776407875e-08
