participant_id,concrete_value,abstract_value,pair_difference,concrete_question_id,abstract_question_id,word_count_difference,enem_correctness_difference
PID018,-2.0197527374768378e-07,-4.4449999205431365e-08,-1.575252745422524e-07,2017_CH_47,2019_CH_56,-10.0,0.1353068115443753
PID019,7.610010541959557e-08,9.072204696950768e-07,-8.311203642754813e-07,2017_CH_47,2019_CH_56,-10.0,0.1353068115443753
PID020,-1.8196603146727246e-07,1.0222102222114098e-08,-1.9218813368938654e-07,2017_CH_47,2019_CH_56,-10.0,0.1353068115443753
PID021,-7.841767953842321e-08,-8.64916644993989e-08,8.073984960975692e-09,2017_CH_47,2019_CH_56,-10.0,0.1353068115443753
PID022,-2.745389067565437e-07,-3.231386948117753e-07,4.85997880552316e-08,2017_CH_47,2019_CH_56,-10.0,0.1353068115443753
PID023,1.836874446650149e-07,-1.915355942650202e-07,3.7522303893003514e-07,2017_CH_47,2019_CH_56,-10.0,0.1353068115443753
PID024,3.0012463968158725e-07,-3.102777848244566e-08,3.311524181640329e-07,2017_CH_47,2019_CH_56,-10.0,0.1353068115443753
PID025,-5.080954254810338e-08,2.12719105188547e-07,-2.6352864773665036e-07,2017_CH_47,2019_CH_56,-10.0,0.1353068115443753
PID026,-1.1153289519126385e-07,-3.683701044376788e-07,2.568372092464149e-07,2017_CH_47,2019_CH_56,-10.0,0.1353068115443753
PID027,3.927272985450473e-08,2.2857957981154412e-08,1.641477187335032e-08,2017_CH_47,2019_CH_56,-10.0,0.1353068115443753
PID028,-3.9673373808697074e-08,3.387316190280197e-08,-7.354653571149904e-08,2017_CH_47,2019_CH_56,-10.0,0.1353068115443753
PID029,6.477168884946836e-08,-1.1492067639249957e-07,1.7969236524196792e-07,2017_CH_47,2019_CH_56,-10.0,0.1353068115443753
PID030,-7.881024149751507e-08,1.5538225458762967e-07,-2.3419249608514474e-07,2017_CH_47,2019_CH_56,-10.0,0.1353068115443753
PID031,-2.0302705361044523e-07,-1.085173129337319e-08,-1.9217532231707203e-07,2017_CH_47,2019_CH_56,-10.0,0.1353068115443753
PID032,-1.8830614057278596e-07,-1.1590487232481133e-07,-7.240126824797463e-08,2017_CH_47,2019_CH_56,-10.0,0.1353068115443753
PID033,-1.0147401249001262e-08,4.1074602731770035e-08,-5.1222003980771295e-08,2017_CH_47,2019_CH_56,-10.0,0.1353068115443753
PID034,-1.0076237166911973e-07,3.958015972571853e-07,-4.965639689263051e-07,2017_CH_47,2019_CH_56,-10.0,0.1353068115443753
PID035,5.859093175828031e-07,1.3622220022183232e-08,5.722870975606199e-07,2017_CH_47,2019_CH_56,-10.0,0.1353068115443753
PID036,-2.656580795426712e-07,1.3432502198967465e-07,-3.999831015323459e-07,2017_CH_47,2019_CH_56,-10.0,0.1353068115443753
PID038,2.3262742234957405e-07,2.2928968601847899e-07,3.3377363310950627e-09,2017_CH_47,2019_CH_56,-10.0,0.1353068115443753
PID001,1.163212429873775e-07,-1.2393192223121171e-08,1.2871443521049866e-07,2017_CH_47,2019_CH_64,-45.0,-0.076327217479358
PID002,-1.4016636564426338e-07,-2.243398458365667e-07,8.417348019230331e-08,2017_CH_47,2019_CH_64,-45.0,-0.076327217479358
PID003,-1.556653258707068e-07,-5.314174060736647e-08,-1.0252358526334034e-07,2017_CH_47,2019_CH_64,-45.0,-0.076327217479358
PID004,1.7708968486555524e-08,-1.7117662700265605e-07,1.8888559548921158e-07,2017_CH_47,2019_CH_64,-45.0,-0.076327217479358
PID005,-3.9623180178984686e-07,-4.3848689620214836e-08,-3.52383112169632e-07,2017_CH_47,2019_CH_64,-45.0,-0.076327217479358
PID007,-1.833161434547141e-07,-1.43162389804268e-07,-4.0153753650446084e-08,2017_CH_47,2019_CH_64,-45.0,-0.076327217479358
PID008,2.0480575922343373e-07,-1.2505992273198606e-06,1.4554049865432943e-06,2017_CH_47,2019_CH_64,-45.0,-0.076327217479358
PID009,-1.862334576257301e-07,-5.306161064358217e-07,3.443826488100916e-07,2017_CH_47,2019_CH_64,-45.0,-0.076327217479358
PID010,4.8906744681761454e-08,-3.161134740431816e-07,3.6502021872494307e-07,2017_CH_47,2019_CH_64,-45.0,-0.076327217479358
PID011,1.8205971416750746e-07,1.5111167548710678e-07,3.094803868040068e-08,2017_CH_47,2019_CH_64,-45.0,-0.076327217479358
PID012,-8.538932266299467e-08,3.3127076382510537e-07,-4.1666008648810006e-07,2017_CH_47,2019_CH_64,-45.0,-0.076327217479358
PID013,-4.463137864443777e-08,-1.2471470819131834e-07,8.008332954688057e-08,2017_CH_47,2019_CH_64,-45.0,-0.076327217479358
PID014,-4.945487596405788e-07,-2.4157991487313615e-07,-2.529688447674426e-07,2017_CH_47,2019_CH_64,-45.0,-0.076327217479358
PID015,-5.452143392745739e-07,-1.251885626160419e-07,-4.20025776658532e-07,2017_CH_47,2019_CH_64,-45.0,-0.076327217479358
PID016,-4.799689921356401e-08,-4.83665546445472e-07,4.35668647231908e-07,2017_CH_47,2019_CH_64,-45.0,-0.076327217479358
PID017,-9.952679004567569e-08,-1.0848473875442245e-07,8.957948708746762e-09,2017_CH_47,2019_CH_64,-45.0,-0.076327217479358
PID018,-2.0197527374768378e-07,-1.2049183441134426e-07,-8.148343933633952e-08,2017_CH_47,2019_CH_64,-45.0,-0.076327217479358
PID019,7.610010541959557e-08,-8.30765117819993e-07,9.068652232395887e-07,2017_CH_47,2019_CH_64,-45.0,-0.076327217479358
PID020,-1.8196603146727246e-07,-1.7093736587315313e-07,-1.1028665594119326e-08,2017_CH_47,2019_CH_64,-45.0,-0.076327217479358
PID021,-7.841767953842321e-08,8.020502996786952e-09,-8.643818253521016e-08,2017_CH_47,2019_CH_64,-45.0,-0.076327217479358
PID022,-2.745389067565437e-07,-2.956211394765061e-07,2.1082232719962412e-08,2017_CH_47,2019_CH_64,-45.0,-0.076327217479358
PID023,1.836874446650149e-07,-9.643174688744545e-08,2.801191915524603e-07,2017_CH_47,2019_CH_64,-45.0,-0.076327217479358
PID024,3.0012463968158725e-07,2.9583647097710585e-07,4.2881687044813975e-09,2017_CH_47,2019_CH_64,-45.0,-0.076327217479358
PID025,-5.080954254810338e-08,1.577336874285663e-07,-2.085432299766697e-07,2017_CH_47,2019_CH_64,-45.0,-0.076327217479358
PID026,-1.1153289519126385e-07,-2.0560959466160222e-09,-1.0947679924464783e-07,2017_CH_47,2019_CH_64,-45.0,-0.076327217479358
PID027,3.927272985450473e-08,-2.828371313766564e-07,3.2210986123116116e-07,2017_CH_47,2019_CH_64,-45.0,-0.076327217479358
PID028,-3.9673373808697074e-08,3.4893750830708265e-07,-3.886108821157797e-07,2017_CH_47,2019_CH_64,-45.0,-0.076327217479358
PID029,6.477168884946836e-08,7.286120805558163e-08,-8.089519206113269e-09,2017_CH_47,2019_CH_64,-45.0,-0.076327217479358
PID030,-7.881024149751507e-08,-3.345479354625885e-07,2.5573769396507343e-07,2017_CH_47,2019_CH_64,-45.0,-0.076327217479358
PID031,-2.0302705361044523e-07,-2.468391978848108e-07,4.3812144274365554e-08,2017_CH_47,2019_CH_64,-45.0,-0.076327217479358
PID032,-1.8830614057278596e-07,-4.516807976544355e-07,2.6337465708164954e-07,2017_CH_47,2019_CH_64,-45.0,-0.076327217479358
PID033,-1.0147401249001262e-08,-9.883127445154229e-08,8.868387320254103e-08,2017_CH_47,2019_CH_64,-45.0,-0.076327217479358
PID034,-1.0076237166911973e-07,7.300626255445879e-08,-1.7376863422357852e-07,2017_CH_47,2019_CH_64,-45.0,-0.076327217479358
PID035,5.859093175828031e-07,-1.5814272400838268e-07,7.440520415911858e-07,2017_CH_47,2019_CH_64,-45.0,-0.076327217479358
PID036,-2.656580795426712e-07,-3.269321357547719e-07,6.127405621210066e-08,2017_CH_47,2019_CH_64,-45.0,-0.076327217479358
PID038,2.3262742234957405e-07,-2.5114571631435605e-07,4.837731386639302e-07,2017_CH_47,2019_CH_64,-45.0,-0.076327217479358
PID001,1.163212429873775e-07,6.172946619531564e-08,5.459177679206186e-08,2017_CH_47,2019_CH_65,-26.0,0.18461546601473555
PID002,-1.4016636564426338e-07,-2.044626379131118e-07,6.42962722688484e-08,2017_CH_47,2019_CH_65,-26.0,0.18461546601473555
PID003,-1.556653258707068e-07,1.3466642358138798e-07,-2.903317494520948e-07,2017_CH_47,2019_CH_65,-26.0,0.18461546601473555
PID004,1.7708968486555524e-08,2.3306621814365814e-07,-2.153572496571026e-07,2017_CH_47,2019_CH_65,-26.0,0.18461546601473555
PID005,-3.9623180178984686e-07,1.3167022283510288e-07,-5.279020246249498e-07,2017_CH_47,2019_CH_65,-26.0,0.18461546601473555
PID007,-1.833161434547141e-07,-1.47366337220883e-07,-3.594980623383108e-08,2017_CH_47,2019_CH_65,-26.0,0.18461546601473555
PID008,2.0480575922343373e-07,1.5958397116161697e-07,4.522178806181676e-08,2017_CH_47,2019_CH_65,-26.0,0.18461546601473555
PID009,-1.862334576257301e-07,3.318070675140296e-07,-5.180405251397597e-07,2017_CH_47,2019_CH_65,-26.0,0.18461546601473555
PID010,4.8906744681761454e-08,-3.1759911324510216e-07,3.665058579268636e-07,2017_CH_47,2019_CH_65,-26.0,0.18461546601473555
PID011,1.8205971416750746e-07,-5.54218749621143e-07,7.362784637886504e-07,2017_CH_47,2019_CH_65,-26.0,0.18461546601473555
PID012,-8.538932266299467e-08,-2.79563205992309e-07,1.9417388332931434e-07,2017_CH_47,2019_CH_65,-26.0,0.18461546601473555
PID013,-4.463137864443777e-08,-9.01027629603041e-08,4.547138431586633e-08,2017_CH_47,2019_CH_65,-26.0,0.18461546601473555
PID014,-4.945487596405788e-07,-1.624765046109238e-07,-3.3207225502965495e-07,2017_CH_47,2019_CH_65,-26.0,0.18461546601473555
PID015,-5.452143392745739e-07,-1.4130805632644721e-07,-4.039062829481267e-07,2017_CH_47,2019_CH_65,-26.0,0.18461546601473555
PID016,-4.799689921356401e-08,6.325060382418498e-08,-1.1124750303774899e-07,2017_CH_47,2019_CH_65,-26.0,0.18461546601473555
PID017,-9.952679004567569e-08,-4.802909485953505e-07,3.8076415854967486e-07,2017_CH_47,2019_CH_65,-26.0,0.18461546601473555
PID018,-2.0197527374768378e-07,-1.487012883053335e-07,-5.327398544235028e-08,2017_CH_47,2019_CH_65,-26.0,0.18461546601473555
PID019,7.610010541959557e-08,-1.0728690129323701e-07,1.833870067128326e-07,2017_CH_47,2019_CH_65,-26.0,0.18461546601473555
PID020,-1.8196603146727246e-07,-1.2280074957305776e-07,-5.9165281894214695e-08,2017_CH_47,2019_CH_65,-26.0,0.18461546601473555
PID021,-7.841767953842321e-08,-7.854930623300698e-08,1.316266945837695e-10,2017_CH_47,2019_CH_65,-26.0,0.18461546601473555
PID022,-2.745389067565437e-07,-1.9571034397858005e-07,-7.882856277796365e-08,2017_CH_47,2019_CH_65,-26.0,0.18461546601473555
PID023,1.836874446650149e-07,-8.391906109467653e-08,2.6760650575969144e-07,2017_CH_47,2019_CH_65,-26.0,0.18461546601473555
PID024,3.0012463968158725e-07,-1.3740398169590098e-07,4.3752862137748823e-07,2017_CH_47,2019_CH_65,-26.0,0.18461546601473555
PID025,-5.080954254810338e-08,-2.2411107613121101e-07,1.7330153358310764e-07,2017_CH_47,2019_CH_65,-26.0,0.18461546601473555
PID026,-1.1153289519126385e-07,-2.1247423362981317e-07,1.0094133843854932e-07,2017_CH_47,2019_CH_65,-26.0,0.18461546601473555
PID027,3.927272985450473e-08,1.2738908404555408e-07,-8.811635419104935e-08,2017_CH_47,2019_CH_65,-26.0,0.18461546601473555
PID028,-3.9673373808697074e-08,6.6896260065552e-07,-7.086359744642171e-07,2017_CH_47,2019_CH_65,-26.0,0.18461546601473555
PID029,6.477168884946836e-08,-2.118252423976529e-07,2.7659693124712124e-07,2017_CH_47,2019_CH_65,-26.0,0.18461546601473555
PID030,-7.881024149751507e-08,8.313799283977473e-08,-1.619482343372898e-07,2017_CH_47,2019_CH_65,-26.0,0.18461546601473555
PID031,-2.0302705361044523e-07,-6.452235136791829e-08,-1.3850470224252693e-07,2017_CH_47,2019_CH_65,-26.0,0.18461546601473555
PID032,-1.8830614057278596e-07,-2.98888995894649e-07,1.1058285532186305e-07,2017_CH_47,2019_CH_65,-26.0,0.18461546601473555
PID033,-1.0147401249001262e-08,-2.535238228428906e-07,2.433764215938893e-07,2017_CH_47,2019_CH_65,-26.0,0.18461546601473555
PID034,-1.0076237166911973e-07,8.109993085990781e-08,-1.8186230252902756e-07,2017_CH_47,2019_CH_65,-26.0,0.18461546601473555
PID035,5.859093175828031e-07,1.08268807645172e-06,-4.96778758868917e-07,2017_CH_47,2019_CH_65,-26.0,0.18461546601473555
PID036,-2.656580795426712e-07,-8.458636794743128e-08,-1.8107171159523994e-07,2017_CH_47,2019_CH_65,-26.0,0.18461546601473555
PID038,2.3262742234957405e-07,2.4617412579244335e-08,2.0801000977032972e-07,2017_CH_47,2019_CH_65,-26.0,0.18461546601473555
PID001,1.163212429873775e-07,-2.8115402228972533e-08,1.4443664521635002e-07,2017_CH_47,2020_CH_76,-16.0,0.21220023902125895
PID002,-1.4016636564426338e-07,4.171970876258812e-09,-1.443383365205222e-07,2017_CH_47,2020_CH_76,-16.0,0.21220023902125895
PID003,-1.556653258707068e-07,-2.12913322221816e-08,-1.343739936485252e-07,2017_CH_47,2020_CH_76,-16.0,0.21220023902125895
PID004,1.7708968486555524e-08,2.090858986009474e-07,-1.9137693011439187e-07,2017_CH_47,2020_CH_76,-16.0,0.21220023902125895
PID005,-3.9623180178984686e-07,-1.4395919886119212e-08,-3.8183588190372764e-07,2017_CH_47,2020_CH_76,-16.0,0.21220023902125895
PID007,-1.833161434547141e-07,-2.2053166082590934e-07,3.721551737119525e-08,2017_CH_47,2020_CH_76,-16.0,0.21220023902125895
PID008,2.0480575922343373e-07,-4.217464482980115e-07,6.265522075214453e-07,2017_CH_47,2020_CH_76,-16.0,0.21220023902125895
PID009,-1.862334576257301e-07,3.570103634252415e-08,-2.2193449396825424e-07,2017_CH_47,2020_CH_76,-16.0,0.21220023902125895
PID010,4.8906744681761454e-08,-8.30289390161268e-08,1.3193568369788825e-07,2017_CH_47,2020_CH_76,-16.0,0.21220023902125895
PID011,1.8205971416750746e-07,-2.0333915270030854e-07,3.85398866867816e-07,2017_CH_47,2020_CH_76,-16.0,0.21220023902125895
PID012,-8.538932266299467e-08,1.6091155712287114e-07,-2.4630087978586583e-07,2017_CH_47,2020_CH_76,-16.0,0.21220023902125895
PID013,-4.463137864443777e-08,-1.196642127380835e-07,7.503283409364573e-08,2017_CH_47,2020_CH_76,-16.0,0.21220023902125895
PID014,-4.945487596405788e-07,-2.9568460486162466e-08,-4.6498029915441633e-07,2017_CH_47,2020_CH_76,-16.0,0.21220023902125895
PID015,-5.452143392745739e-07,-5.7315065490546384e-08,-4.878992737840275e-07,2017_CH_47,2020_CH_76,-16.0,0.21220023902125895
PID016,-4.799689921356401e-08,2.509614593854943e-07,-2.989583585990583e-07,2017_CH_47,2020_CH_76,-16.0,0.21220023902125895
PID017,-9.952679004567569e-08,-2.91762094440337e-07,1.922353043946613e-07,2017_CH_47,2020_CH_76,-16.0,0.21220023902125895
PID018,-2.0197527374768378e-07,1.5321912729098237e-07,-3.551944010386661e-07,2017_CH_47,2020_CH_76,-16.0,0.21220023902125895
PID019,7.610010541959557e-08,-6.49875601542584e-08,1.4108766557385397e-07,2017_CH_47,2020_CH_76,-16.0,0.21220023902125895
PID020,-1.8196603146727246e-07,-1.901603036312331e-09,-1.8006442843096013e-07,2017_CH_47,2020_CH_76,-16.0,0.21220023902125895
PID021,-7.841767953842321e-08,5.152080715656436e-08,-1.2993848669498757e-07,2017_CH_47,2020_CH_76,-16.0,0.21220023902125895
PID022,-2.745389067565437e-07,-3.313705533021809e-07,5.6831646545637186e-08,2017_CH_47,2020_CH_76,-16.0,0.21220023902125895
PID023,1.836874446650149e-07,-1.1648692105535677e-07,3.001743657203717e-07,2017_CH_47,2020_CH_76,-16.0,0.21220023902125895
PID024,3.0012463968158725e-07,2.5207187831883944e-07,4.805276136274781e-08,2017_CH_47,2020_CH_76,-16.0,0.21220023902125895
PID025,-5.080954254810338e-08,3.85425526899442e-07,-4.3623506944754537e-07,2017_CH_47,2020_CH_76,-16.0,0.21220023902125895
PID026,-1.1153289519126385e-07,-5.069322237075201e-08,-6.083967282051184e-08,2017_CH_47,2020_CH_76,-16.0,0.21220023902125895
PID027,3.927272985450473e-08,-4.594167829377202e-08,8.521440814827675e-08,2017_CH_47,2020_CH_76,-16.0,0.21220023902125895
PID028,-3.9673373808697074e-08,1.3322921114139453e-07,-1.729025849500916e-07,2017_CH_47,2020_CH_76,-16.0,0.21220023902125895
PID029,6.477168884946836e-08,-2.731873645636718e-07,3.3795905341314016e-07,2017_CH_47,2020_CH_76,-16.0,0.21220023902125895
PID030,-7.881024149751507e-08,-1.4156674054984042e-07,6.275649905232535e-08,2017_CH_47,2020_CH_76,-16.0,0.21220023902125895
PID031,-2.0302705361044523e-07,2.717892419554766e-07,-4.748162955659218e-07,2017_CH_47,2020_CH_76,-16.0,0.21220023902125895
PID032,-1.8830614057278596e-07,-4.183726086872722e-07,2.3006646811448624e-07,2017_CH_47,2020_CH_76,-16.0,0.21220023902125895
PID033,-1.0147401249001262e-08,-2.405330181835852e-07,2.3038561693458396e-07,2017_CH_47,2020_CH_76,-16.0,0.21220023902125895
PID034,-1.0076237166911973e-07,-9.016000011456365e-09,-9.174637165766337e-08,2017_CH_47,2020_CH_76,-16.0,0.21220023902125895
PID035,5.859093175828031e-07,-3.682030292070847e-07,9.541123467898879e-07,2017_CH_47,2020_CH_76,-16.0,0.21220023902125895
PID036,-2.656580795426712e-07,6.503813503240408e-08,-3.3069621457507533e-07,2017_CH_47,2020_CH_76,-16.0,0.21220023902125895
PID038,2.3262742234957405e-07,2.617025297581932e-07,-2.9075107408619154e-08,2017_CH_47,2020_CH_76,-16.0,0.21220023902125895
PID001,1.163212429873775e-07,4.1121852997990426e-08,7.519938998938707e-08,2017_CH_47,2020_CH_77,-17.0,0.23502237224128025
PID002,-1.4016636564426338e-07,-3.5719809224172306e-08,-1.0444655642009109e-07,2017_CH_47,2020_CH_77,-17.0,0.23502237224128025
PID003,-1.556653258707068e-07,-6.948642408793366e-08,-8.617890178277314e-08,2017_CH_47,2020_CH_77,-17.0,0.23502237224128025
PID004,1.7708968486555524e-08,3.4591485916093894e-08,-1.688251742953837e-08,2017_CH_47,2020_CH_77,-17.0,0.23502237224128025
PID005,-3.9623180178984686e-07,-2.045301612715916e-07,-1.9170164051825525e-07,2017_CH_47,2020_CH_77,-17.0,0.23502237224128025
PID007,-1.833161434547141e-07,-4.2630014375696246e-08,-1.4068612907901784e-07,2017_CH_47,2020_CH_77,-17.0,0.23502237224128025
PID008,2.0480575922343373e-07,-7.594368411520491e-07,9.64242600375483e-07,2017_CH_47,2020_CH_77,-17.0,0.23502237224128025
PID010,4.8906744681761454e-08,4.3344232175046404e-07,-3.845355770687026e-07,2017_CH_47,2020_CH_77,-17.0,0.23502237224128025
PID011,1.8205971416750746e-07,5.678176519656225e-08,1.2527794897094523e-07,2017_CH_47,2020_CH_77,-17.0,0.23502237224128025
PID012,-8.538932266299467e-08,1.5245671708609034e-07,-2.3784603974908503e-07,2017_CH_47,2020_CH_77,-17.0,0.23502237224128025
PID013,-4.463137864443777e-08,-8.643018242273658e-09,-3.5988360402164116e-08,2017_CH_47,2020_CH_77,-17.0,0.23502237224128025
PID014,-4.945487596405788e-07,1.1566958935575529e-07,-6.102183489963341e-07,2017_CH_47,2020_CH_77,-17.0,0.23502237224128025
PID015,-5.452143392745739e-07,-1.0041804277728209e-06,4.58966088498247e-07,2017_CH_47,2020_CH_77,-17.0,0.23502237224128025
PID016,-4.799689921356401e-08,-2.521343899353119e-07,2.0413749072174788e-07,2017_CH_47,2020_CH_77,-17.0,0.23502237224128025
PID017,-9.952679004567569e-08,-4.10266682804565e-07,3.1073989275888934e-07,2017_CH_47,2020_CH_77,-17.0,0.23502237224128025
PID018,-2.0197527374768378e-07,4.906005419116016e-08,-2.5103532793884395e-07,2017_CH_47,2020_CH_77,-17.0,0.23502237224128025
PID019,7.610010541959557e-08,-3.0656962163623045e-07,3.82669727055826e-07,2017_CH_47,2020_CH_77,-17.0,0.23502237224128025
PID020,-1.8196603146727246e-07,2.29361859801563e-07,-4.113278912688355e-07,2017_CH_47,2020_CH_77,-17.0,0.23502237224128025
PID021,-7.841767953842321e-08,2.1787056750277694e-07,-2.9628824704120017e-07,2017_CH_47,2020_CH_77,-17.0,0.23502237224128025
PID022,-2.745389067565437e-07,-2.1428639967288653e-07,-6.025250708365717e-08,2017_CH_47,2020_CH_77,-17.0,0.23502237224128025
PID023,1.836874446650149e-07,-5.674667410515698e-08,2.4043411877017185e-07,2017_CH_47,2020_CH_77,-17.0,0.23502237224128025
PID024,3.0012463968158725e-07,1.557173892868472e-07,1.4440725039474005e-07,2017_CH_47,2020_CH_77,-17.0,0.23502237224128025
PID025,-5.080954254810338e-08,-5.439173253458468e-08,3.582189986481294e-09,2017_CH_47,2020_CH_77,-17.0,0.23502237224128025
PID026,-1.1153289519126385e-07,1.318066542790893e-07,-2.4333954947035317e-07,2017_CH_47,2020_CH_77,-17.0,0.23502237224128025
PID027,3.927272985450473e-08,4.305895429635308e-07,-3.913168131090261e-07,2017_CH_47,2020_CH_77,-17.0,0.23502237224128025
PID028,-3.9673373808697074e-08,-1.7236198618924605e-07,1.3268861238054898e-07,2017_CH_47,2020_CH_77,-17.0,0.23502237224128025
PID029,6.477168884946836e-08,-9.62147254991431e-08,1.6098641434861147e-07,2017_CH_47,2020_CH_77,-17.0,0.23502237224128025
PID030,-7.881024149751507e-08,3.9199561060039074e-07,-4.7080585209790584e-07,2017_CH_47,2020_CH_77,-17.0,0.23502237224128025
PID031,-2.0302705361044523e-07,8.570799200790227e-08,-2.887350456183475e-07,2017_CH_47,2020_CH_77,-17.0,0.23502237224128025
PID032,-1.8830614057278596e-07,3.360005825025666e-07,-5.243067230753526e-07,2017_CH_47,2020_CH_77,-17.0,0.23502237224128025
PID033,-1.0147401249001262e-08,-2.3962967658522335e-07,2.2948227533622209e-07,2017_CH_47,2020_CH_77,-17.0,0.23502237224128025
PID034,-1.0076237166911973e-07,2.6201019446180534e-07,-3.627725661309251e-07,2017_CH_47,2020_CH_77,-17.0,0.23502237224128025
PID035,5.859093175828031e-07,-2.336870906783153e-07,8.195964082611184e-07,2017_CH_47,2020_CH_77,-17.0,0.23502237224128025
PID036,-2.656580795426712e-07,-1.1679161707877265e-07,-1.4886646246389857e-07,2017_CH_47,2020_CH_77,-17.0,0.23502237224128025
PID038,2.3262742234957405e-07,8.528064446423873e-08,1.4734677788533531e-07,2017_CH_47,2020_CH_77,-17.0,0.23502237224128025
PID001,1.163212429873775e-07,-1.3754825263337182e-07,2.538694956207493e-07,2017_CH_47,2020_LC_31,-65.0,0.08002142295143949
PID002,-1.4016636564426338e-07,-1.939489015524172e-09,-1.382268766287392e-07,2017_CH_47,2020_LC_31,-65.0,0.08002142295143949
PID003,-1.556653258707068e-07,2.2228173573498547e-07,-3.7794706160569224e-07,2017_CH_47,2020_LC_31,-65.0,0.08002142295143949
PID004,1.7708968486555524e-08,-1.700534078861202e-07,1.8776237637267573e-07,2017_CH_47,2020_LC_31,-65.0,0.08002142295143949
PID005,-3.9623180178984686e-07,-3.808919880889236e-07,-1.5339813700923245e-08,2017_CH_47,2020_LC_31,-65.0,0.08002142295143949
PID007,-1.833161434547141e-07,-3.1567314383219615e-07,1.3235700037748206e-07,2017_CH_47,2020_LC_31,-65.0,0.08002142295143949
PID008,2.0480575922343373e-07,2.2086065434267295e-07,-1.605489511923922e-08,2017_CH_47,2020_LC_31,-65.0,0.08002142295143949
PID009,-1.862334576257301e-07,6.6711109699199224e-09,-1.9290456859565002e-07,2017_CH_47,2020_LC_31,-65.0,0.08002142295143949
PID010,4.8906744681761454e-08,1.970283965779349e-08,2.9203905023967963e-08,2017_CH_47,2020_LC_31,-65.0,0.08002142295143949
PID011,1.8205971416750746e-07,-2.2910759933317127e-07,4.1116731350067873e-07,2017_CH_47,2020_LC_31,-65.0,0.08002142295143949
PID012,-8.538932266299467e-08,1.7808227619037827e-07,-2.634715988533729e-07,2017_CH_47,2020_LC_31,-65.0,0.08002142295143949
PID013,-4.463137864443777e-08,6.292318472158707e-08,-1.0755456336602484e-07,2017_CH_47,2020_LC_31,-65.0,0.08002142295143949
PID014,-4.945487596405788e-07,-6.832599020795922e-07,1.8871114243901343e-07,2017_CH_47,2020_LC_31,-65.0,0.08002142295143949
PID015,-5.452143392745739e-07,-2.572315837953095e-07,-2.879827554792644e-07,2017_CH_47,2020_LC_31,-65.0,0.08002142295143949
PID016,-4.799689921356401e-08,5.411480620839493e-07,-5.891449612975133e-07,2017_CH_47,2020_LC_31,-65.0,0.08002142295143949
PID017,-9.952679004567569e-08,-4.238156612739684e-08,-5.714522391827885e-08,2017_CH_47,2020_LC_31,-65.0,0.08002142295143949
PID018,-2.0197527374768378e-07,-8.138777535278814e-08,-1.2058749839489563e-07,2017_CH_47,2020_LC_31,-65.0,0.08002142295143949
PID019,7.610010541959557e-08,-4.554593987708816e-07,5.315595041904771e-07,2017_CH_47,2020_LC_31,-65.0,0.08002142295143949
PID020,-1.8196603146727246e-07,2.617263071775761e-07,-4.4369233864484855e-07,2017_CH_47,2020_LC_31,-65.0,0.08002142295143949
